Attribute_1	Attribute_2	Attribute_3
5000	5000	0
2569	2620	17
7563	7471	51
7685	2793	74
2111	7555	109
8048	2301	147
2398	7441	184
2299	7471	185
7563	7471	211
7443	2429	206
2221	7383	241
2313	2336	192
7347	2202	216
2723	2189	239
2294	7299	231
5000	5000	0
8003	2134	20
7842	2518	22
2762	2856	47
2322	2617	50
7570	7513	85
2649	2707	118
2441	7315	140
8264	2530	176
8003	2134	179
7783	2500	182
7526	7420	206
2527	7272	230
2080	7586	233
5000	5000	0
6986	2301	16
7384	2408	18
7454	2707	20
7581	3611	25
7630	7533	44
7464	7487	45
2330	7548	70
7464	7487	95
7280	2060	121
2333	2289	145
7036	2706	168
2419	2364	191
7480	7565	226
5000	5000	0
7411	1868	19
2491	7483	55
7495	7551	79
2844	2438	112
7427	7433	145
2491	7483	169
