Attribute_1	Attribute_2	Attribute_3
5000	5000	0
2778	2981	15
2796	7684	38
2614	7366	40
7758	2169	75
6847	2356	80
2778	2981	100
2505	2359	104
2778	2981	108
7519	2252	131
2340	7552	167
7758	2169	204
2736	7790	209
5000	5000	0
2743	7052	15
2005	2654	37
7913	2057	66
6976	2159	71
5000	5000	0
7812	1891	20
7370	2594	24
5000	5000	0
2511	7646	18
2494	2700	42
7059	2650	64
2512	7759	97
7529	7394	121
2457	7560	146
7118	2551	179
2752	7332	210
5000	5000	0
6996	2280	17
2455	2302	39
6996	2280	61
2397	7272	94
7358	7438	118
2392	2610	151
2237	2670	152
7509	7612	187
7071	2323	213
2434	2611	213
5000	5000	0
7422	7631	18
2637	2165	53
7464	7552	88
2540	7531	112
2610	2582	136
2475	7450	160
7841	2701	195
2608	2199	221
